,loss,precision,recall,f1,accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy
33,0.12308166921138763,0.5700088143348694,0.22622494399547577,0.321863055229187,0.9480996131896973,0.14382977783679962,0.4307154715061188,0.12156020849943161,0.1861828863620758,0.952613115310669
34,0.11748860031366348,0.5707706212997437,0.2266405075788498,0.3225565552711487,0.9499292969703674,0.1425403505563736,0.4308680593967438,0.12006857991218567,0.18373289704322815,0.9527601599693298
35,0.11325865983963013,0.5699238777160645,0.2637459337711334,0.35752248764038086,0.9519248008728027,0.14269985258579254,0.43469464778900146,0.1219862774014473,0.18622761964797974,0.9527705907821655
36,0.11524493247270584,0.565503716468811,0.25774624943733215,0.34717118740081787,0.9504580497741699,0.1424981951713562,0.4444439709186554,0.11996691673994064,0.1842348426580429,0.9529883861541748
37,0.11597110331058502,0.5769528150558472,0.29245972633361816,0.3860848844051361,0.9491596817970276,0.14180582761764526,0.434746652841568,0.15718138217926025,0.22624164819717407,0.952141523361206
38,0.11158667504787445,0.573455274105072,0.2902962267398834,0.38263148069381714,0.951108455657959,0.14348502457141876,0.43042078614234924,0.14727678894996643,0.2145390659570694,0.9522867798805237
39,0.10794762521982193,0.5810655951499939,0.31603068113327026,0.40618136525154114,0.9529358148574829,0.14224845170974731,0.4408666491508484,0.13972525298595428,0.20737618207931519,0.9529030323028564
40,0.1106429398059845,0.5889297723770142,0.3442257344722748,0.43224212527275085,0.9505307674407959,0.14178310334682465,0.43117645382881165,0.16911663115024567,0.23762807250022888,0.9520006775856018
41,0.10267424583435059,0.5888177752494812,0.36740171909332275,0.45076167583465576,0.9538611173629761,0.1419462263584137,0.44085991382598877,0.1500796377658844,0.21938194334506989,0.9527400732040405
42,0.10488081723451614,0.5992513298988342,0.38726967573165894,0.4683705270290375,0.9525547027587891,0.14261221885681152,0.4407922029495239,0.17755214869976044,0.24751406908035278,0.9522486329078674
43,0.1006459966301918,0.5916500687599182,0.39626795053482056,0.47159022092819214,0.9545145630836487,0.14311395585536957,0.44823578000068665,0.16255377233028412,0.23274503648281097,0.9527584314346313
44,0.1012972816824913,0.5986303091049194,0.4052382707595825,0.4816524088382721,0.9538689851760864,0.1417863965034485,0.4289874732494354,0.19442720711231232,0.26350024342536926,0.9516230225563049
45,0.0999397337436676,0.6028904318809509,0.4360564649105072,0.5044165849685669,0.954220175743103,0.1432632952928543,0.4369558095932007,0.18970869481563568,0.2606680691242218,0.952077329158783
46,0.09814611822366714,0.605933666229248,0.44427168369293213,0.5088543891906738,0.9547799825668335,0.14370736479759216,0.4348459243774414,0.194329634308815,0.26399049162864685,0.9520048499107361
47,0.09717200696468353,0.6046099066734314,0.45216095447540283,0.5156835913658142,0.9548508524894714,0.14451982080936432,0.445323646068573,0.17761804163455963,0.2481195479631424,0.9528270959854126
48,0.09475108981132507,0.6081466674804688,0.45460638403892517,0.5163394212722778,0.9562034010887146,0.14218772947788239,0.4382973611354828,0.21520785987377167,0.2834322452545166,0.9518390893936157
49,0.09292525053024292,0.6174556016921997,0.495837539434433,0.5485493540763855,0.956686794757843,0.14407482743263245,0.4246349632740021,0.2223704755306244,0.28797271847724915,0.9511045813560486
50,0.09230197966098785,0.6188492178916931,0.4944263994693756,0.5476194024085999,0.9569191336631775,0.14507466554641724,0.4446570575237274,0.2057446837425232,0.2769373059272766,0.952277421951294
51,0.09230022132396698,0.6197683215141296,0.4989820718765259,0.5497149229049683,0.9566469788551331,0.14409251511096954,0.444536954164505,0.20516781508922577,0.2757716476917267,0.9523346424102783
52,0.08875708281993866,0.6274266839027405,0.5219102501869202,0.5679316520690918,0.9583135843276978,0.14463581144809723,0.44338977336883545,0.2203809767961502,0.29030659794807434,0.9521623253822327
53,0.0893874317407608,0.6237386465072632,0.519787073135376,0.5653730630874634,0.95798259973526,0.14411388337612152,0.4181833565235138,0.2702970802783966,0.3246576488018036,0.9500364661216736
54,0.08697757124900818,0.6292253732681274,0.5287193059921265,0.5733178853988647,0.9592816829681396,0.1459033042192459,0.4496898949146271,0.2304360717535019,0.3000795841217041,0.9523742198944092
55,0.08805765956640244,0.6301679611206055,0.544661283493042,0.5829759240150452,0.9583724141120911,0.14484307169914246,0.44210097193717957,0.2476322501897812,0.31287142634391785,0.9517475366592407
56,0.08491716533899307,0.6395200490951538,0.5543619394302368,0.5927056670188904,0.9598758220672607,0.14689739048480988,0.4503639340400696,0.24188543856143951,0.3097502291202545,0.9523499011993408
57,0.08401337265968323,0.6383670568466187,0.566815972328186,0.5994083285331726,0.9600110650062561,0.1453840583562851,0.43170011043548584,0.27248743176460266,0.329684317111969,0.9509870409965515
58,0.08212889730930328,0.6403482556343079,0.5754656195640564,0.6050745248794556,0.9611110091209412,0.1455385833978653,0.43304044008255005,0.28619807958602905,0.34028494358062744,0.9507789611816406
59,0.08672536164522171,0.6419647932052612,0.5911311507225037,0.6141423583030701,0.9586263298988342,0.14724282920360565,0.4453221261501312,0.2639237344264984,0.32681962847709656,0.9517877697944641
60,0.07756029814481735,0.6487031579017639,0.5935378074645996,0.619142472743988,0.9631030559539795,0.1483657956123352,0.4579675495624542,0.24945783615112305,0.31829699873924255,0.9526405334472656
61,0.08538979291915894,0.6501593589782715,0.6108034253120422,0.628930389881134,0.9590151309967041,0.14797036349773407,0.4417855143547058,0.27485597133636475,0.33468690514564514,0.9515918493270874
62,0.07721814513206482,0.6545501947402954,0.6202134490013123,0.6359946131706238,0.9632245898246765,0.1464385837316513,0.45306500792503357,0.2657826244831085,0.3304594159126282,0.9523897767066956
63,0.07889915257692337,0.6576625108718872,0.6291615962982178,0.6421467065811157,0.9623456597328186,0.1480126976966858,0.45431336760520935,0.26722535490989685,0.33219632506370544,0.9523149132728577
64,0.07682869583368301,0.6549835801124573,0.6137276291847229,0.6323240399360657,0.9631329774856567,0.1484810709953308,0.45771047472953796,0.2844984829425812,0.345310777425766,0.9524116516113281
65,0.07783976197242737,0.6578034162521362,0.6372778415679932,0.6464720964431763,0.9628698229789734,0.15050405263900757,0.4513477087020874,0.27620676159858704,0.3381657302379608,0.9521831274032593
66,0.07606851309537888,0.6637096405029297,0.6387218832969666,0.6502570509910583,0.963554322719574,0.14780552685260773,0.4406030774116516,0.30255940556526184,0.3541099727153778,0.9511968493461609
