,loss,precision,recall,f1,accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy
15,0.15663477778434753,0.5281120538711548,0.042950645089149475,0.07847241312265396,0.9436741471290588,0.17169421911239624,0.2354564517736435,0.0002766576362773776,0.0005519575788639486,0.9527698755264282
16,0.1444709151983261,0.535612165927887,0.03945689648389816,0.07229648530483246,0.948876142501831,0.16467438638210297,0.3426642119884491,0.0018094718689098954,0.0035968355368822813,0.9527254700660706
17,0.14522802829742432,0.5332968235015869,0.048490010201931,0.08771791309118271,0.946696937084198,0.16126498579978943,0.4260549545288086,0.004057061392813921,0.008014745078980923,0.9527366161346436
18,0.14690907299518585,0.5299800038337708,0.06247211620211601,0.11063598096370697,0.9438018202781677,0.15721847116947174,0.434116929769516,0.016568822786211967,0.03182792663574219,0.9526506066322327
19,0.13422125577926636,0.5381428599357605,0.0733347162604332,0.12628503143787384,0.9494722485542297,0.1544950008392334,0.44354474544525146,0.02057645097374916,0.03908244147896767,0.9525989294052124
20,0.13691817224025726,0.5349935293197632,0.08044801652431488,0.13763949275016785,0.9467359185218811,0.1514667421579361,0.46247437596321106,0.030911831185221672,0.057777807116508484,0.9526374340057373
21,0.13057446479797363,0.5491202473640442,0.10273704677820206,0.17074455320835114,0.9484028220176697,0.14957940578460693,0.46433696150779724,0.03561102971434593,0.06594690680503845,0.9526318907737732
22,0.12896741926670074,0.5428550243377686,0.11077969521284103,0.1816711574792862,0.9483007192611694,0.14687952399253845,0.44992703199386597,0.05334993451833725,0.09468542784452438,0.9523786902427673
23,0.12788423895835876,0.5577808022499084,0.14742177724838257,0.22998423874378204,0.9471997618675232,0.14659474790096283,0.45704567432403564,0.062002502381801605,0.10875522345304489,0.9523953795433044
24,0.12322520464658737,0.5490046739578247,0.15176859498023987,0.23574146628379822,0.9490026235580444,0.14587315917015076,0.4473578631877899,0.06763549149036407,0.11677282303571701,0.9523252844810486
25,0.1257326453924179,0.5561147928237915,0.18336987495422363,0.27244096994400024,0.9466686248779297,0.14574235677719116,0.4443167746067047,0.07014814764261246,0.12049350142478943,0.9521470665931702
26,0.11859307438135147,0.5625737309455872,0.21689791977405548,0.31030699610710144,0.9490500688552856,0.14463594555854797,0.4446573555469513,0.08541153371334076,0.14227674901485443,0.9520797729492188
27,0.11207245290279388,0.5707330107688904,0.23810823261737823,0.3329493999481201,0.9518678784370422,0.14246512949466705,0.45536401867866516,0.10676669329404831,0.1716138869524002,0.9521550536155701
28,0.11750475317239761,0.5723655819892883,0.2911311984062195,0.3831157684326172,0.9476813077926636,0.1419350653886795,0.4516837000846863,0.11610498279333115,0.18361614644527435,0.9520378112792969
29,0.10634537786245346,0.5759674310684204,0.27547240257263184,0.36981770396232605,0.9535199403762817,0.14106696844100952,0.4443455636501312,0.1346786618232727,0.2050074189901352,0.951789140701294
